commonName,scientificName,briefDescription,identification,habitat,riskToHuman,dangerLevel,group,imageUrl
Chocolate Wattled Bat,Chalinolobus morio,"Flies, hanging flaps of skin on face.",Body fur brown. Ears short and rounded. Small flaps of skin (wattles) hanging on the lower lip and bases of ears. Body up to 6 cm long.,"Many areas, including forests.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites.",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/1/1b/Chalinolobus_morio.jpg
Eastern Bent-winged Bat,Miniopterus orianae oceanensis,"Dark brown or red-brown on the back, lighter underneath, high domed forehead, short muzzle, small rounded ears and long narrow wings.","A medium-sized insectivorous bat with a high domed forehead, short muzzle, small rounded ears and long narrow wings. The fur is dark brown or red-brown on the back, becoming lighter underneath. The terminal segment of the third finger is at least three times longer than the previous one and folds under the wing. Three subspecies are broadly similar in appearance, but vary in colouration and size; they are smallest in the north and largest in the south. Body length up to 6.5 cm.","Rainforest, sclerophyll forest, woodlands, monsoon forest, open grasslands, mangroves and paperbark forest.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/5/55/%E3%83%A6%E3%83%93%E3%83%8A%E3%82%AC%E3%82%B3%E3%82%A6%E3%83%A2%E3%83%AA.jpg
Gould's Long-eared Bat,Nyctophilus gouldi,Dark brown to dark grey in colour with a light grey underside. Very long ears that fold down when at rest.,Dark brown to dark grey in colour with a light grey underside. Very long ears that fold down when at rest. Wings are short and wide. Body size up to 5.8 cm.,"Sclerophyll forests and woodland, including forest remnants.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/9/94/Chalinolobus_gouldi-Cayley.jpg
Grey-headed Flying-fox,Pteropus poliocephalus,"Grey fur, orange around neck, lower legs furred.","Body fur grey with a golden-orange ring around the neck. Fur on lower legs. Wingspan up to 1 m, body up to 29 cm.","Lowland forest, coastal stringybark, agricultural and urban areas.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/8/86/Grey_headed_flying_fox_-_Mating_behaviour_-_AndrewMercer_-_DSC11277_-_crop.jpg
Inland Free-tailed Bat,Ozimops petersi,A small stout bat with a long muzzle and a tail that is partially free from its membrane.,"This bat has a flattened head and body, which enables it to crawl into small crevices to roost. The ears lie quite flat and almost join at the front, giving it the appearance of a jet-fighter. The upper lip overhangs the lower lip and on it are sparse, stiff hairs. The tail extends beyond the tail membrane for about half its length. The wings are long and narrow, adapted for fast flight. Forearm length is 31 to 40 mm. Head and body length is up to 10.5 cm.","Can occupy a wide variety of habitats, from agricultural land to open woodlands and treeless plains.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,
Lesser Long-eared Bat,Nyctophilus geoffroyi,Ears join at the bottom on top of the head.,"Body fur light grey-brown, white underneath. Ears very long and joined above the forehead. Body up to 5 cm long.","Forests, woodlands, mallee, farmland and urban areas.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/e/e6/Lesser_Long-eared_Bat_%28Nyctophilus_geoffroyi%29_%288656888933%29.jpg
Little Forest Bat,Vespadelus vulturnus,A tiny brown bat with white projections on its ears.,"Body fur brown to grey-brown, paler underneath. Ears with white projections (tragus). Raised forehead. Wingspan up to 15 cm, body up to 5 cm.",Forest and woodland areas.,"Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/e/eb/Vespadelus_vulturnus_thumb.jpg
Little Red Flying-fox,Pteropus scapulatus,"Brown-red fur, orange around neck.","Body fur red-brown with golden-orange around the neck. Wings dark brown. Wingspan up to 90 cm, body up to 20 cm.","Forests and woodlands, mainly in coastal and subcoastal regions.","Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/7/74/Little_red_flying_fox_2016.png
White-striped Freetail-bat,Austronomus australis,"White stripes on body, ribbed ears that point forward.","Body fur brown above and lighter underneath. Wide white stripes on each side of the body. Ears point forward, and are wide and ribbed. Wingspan up to 40 cm, body up to 10 cm.",Woodland and urban areas.,"Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,
Yellow-bellied Sheathtail-bat,Saccolaimus flaviventris,Medium-sized bat with jet-black back and yellow or cream belly.,"Glossy jet-black back with contrasting yellow or cream belly fur. Head and face are long and somewhat pointed and eyes are quite large. Males have a well-developed throat pouch, associated with a gland. In females the pouch is a simple fold of skin. As in all sheath-tailed bats, the tail protrudes from the tail membrane about half way along it length. Wings long and narrow and the forearm is 66 to 82 mm long. Head, body and tail to 20 cm.",Range of habitats from open deserts to eucalypt forest.,"Normally harmless, but it is best to avoid handling any bat because they may carry the potentially fatal Australian Bat Lissavirus (ABLV), which is transmitted through scratches or bites. ",3,Mammals,https://upload.wikimedia.org/wikipedia/commons/4/44/Saccolaimus_flaviventris_Museum_Victoria.jpg
Greenhead Ant,Rhytidoponera metallica,Rough pattern on the head and thorax.,Body dark with a rough pattern on the head and thorax. Body of worker up to 6 mm long.,"Urban areas, woodlands, heath, arid areas.","Painful sting, sometimes causes allergic reaction. ",2,Insects,https://upload.wikimedia.org/wikipedia/commons/e/e0/Rhytidoponera_metallica_body_shot.jpg
Jumper Ant,Myrmecia pilosula,"Yellow jaws, yellow tips of legs.",Body black with yellow jaws and yellow tips of legs. Worker body up to 1 cm long.,"Open forest and woodland, urban areas.","Painful sting, sometimes causes allergic reaction. ",2,Insects,https://upload.wikimedia.org/wikipedia/commons/d/d8/Shattuck_C25795-1%2C_ANIC32-023626%2C_Myrmecia%2C_near_Bungendore%2C_NSW.png
Meat Ant,Iridomyrmex purpureus,Purple body.,Body colour dark purplish-brown. Worker body up to 1 cm long.,"Sandy or gravelly soils in urban areas, forests, woodlands and heathlands.",Worker ants are capable of biting and secreting defensive fluid from their abdomen. ,2,Insects,https://upload.wikimedia.org/wikipedia/commons/a/a6/Meat_eater_ant_feeding_on_honey02.jpg
Red-headed Spider Ant,Leptomyrmex erythrocephalus,"Black body, orange head, long thin legs.","Body black and thin with long, narrow legs. Head orange. Superficially resembles a spider. Body of worker up to 6 mm long.","Urban areas, forests, woodlands and heath.","Painful sting, sometimes causes allergic reaction. ",1,Insects,https://upload.wikimedia.org/wikipedia/commons/2/25/Leptomyrmex_erythrocephalus_casent0011746_profile_1.jpg
Sugar Ant,Camponotus consobrinus,"Orange-brown legs and thorax, black head and abdomen.","Head black, abdomen mostly black, and thorax and legs orange-brown. Workers up to 2 cm long.","Urban areas, forests, woodland, heath, arid areas.","Larger individuals, the soldiers, can bite but do not sting. ",1,Insects,https://upload.wikimedia.org/wikipedia/commons/8/84/Black-headed_sugar_ant.jpg
Blue Banded Bee,Amegilla (Notomegilla) chlorocyanea,Blue and black stripes on abdomen.,Body covered in hairs. Abdomen with wide blue and black stripes. Body up to 1 cm long.,On vegetation.,"Painful sting, sometimes causes allergic reaction. ",1,Insects,https://upload.wikimedia.org/wikipedia/commons/b/b5/Amegilla_cingulata_on_long_tube_of_Acanthus_ilicifolius_flower.jpg
European Honey Bee,Apis (Apis) mellifera,Black and orange stripes across the body.,Body with wide black and orange stripes. Hair on the eyes. Body up to 2 cm long.,Flying or on vegetation.,"Painful sting, sometimes causing allergic reaction. ",1,Insects,https://upload.wikimedia.org/wikipedia/commons/4/4d/Apis_mellifera_Western_honey_bee.jpg
Blue Ant,Diamma bicolor,"Black body with white spots, or blue body with red legs.","Female: no wings, spiny legs, shiny and blue with orange-red antennae and legs. Male: wings, black with white spots. Body up to 3 cm long.","Grasslands, pastures and urban areas.",Females have a painful sting; sting sometimes causes allergic reaction. ,2,Insects,https://upload.wikimedia.org/wikipedia/commons/6/68/Female_blue_ant04.jpg
